Titel in Originalschrift,Titel,Person/Institution,Weitere Beteiligte,Verantwort.angabe,Quelle,Werktitel,Ort/Verlag,Jahr/Datierung,Weitere Angaben,Umfang/Illustr./Format,Verknüpfte Titel,Sprache,Jahr/Datierung,Weitere Titel,Ausgabe,Schlagwörter,Regensburger Verbundklassifikation,Basisklassifikation,Ordnungsgruppe,ISBN/ISSN/ISMN,Beschreibung,Einzelbände/Artikel,Linksammlung,Standort,Signaturen,Zum Inhalt,Incipit/Explicit,lds49,Univ. Angaben,Signatur/Inv-Nr. etc.,Bestandsangabe,Verfügbarkeit,Unselbst. Werk / Artikel,Bandangaben,Benutzungsrechte,Hinweis,Vorgänger/Nachfolger etc.,Zitierlink,Zitierlink,Permalink
,Malina,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Fidančeva, Iva [ÜbersetzerIn] ",Ingeborg Bahman. [Prevod od germanski jazik Iva Fidančeva],,Malina,Skopje : IC Tri,2013,,347 S.; Ill.,,Makedonisch,,,,Roman;Deutsch o;Makedonisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9786082301587,,,,,,,,,,2034448-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC11870691,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21232365170003338&context=L&vid=ONB&lang=de_DE
,Odlazak vodene vile : izabrane priče,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Pavlović Ćetković, Marina [MitwirkendeR] ",Ingeborg Bahman ; prevela s nemačkog Marina Pavlović Ćetković,,Erzählungen,Beograd : MOND,2001,,199 Seiten,,Serbisch,,Gesamttitel:  Biblioteka Manon,,Anthologie ; Erzählung;Deutsch o;Serbisch ü,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 868143117X,,AC13312577,,,,,,,,2081633-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC13312577,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21301921010003338&context=L&vid=ONB&lang=de_DE
,Das Buch Goldmann : Werke,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Wandruszka, Marie Luise [HerausgeberIn] ;Wandruszka, Maria Luisa, 1950- [HerausgeberIn] ",Ingeborg Bachmann ; herausgegeben von Marie Luise Wandruszka,,,München : Piper,Juni 2020,Erscheint auch als: Online-Ausgabe. ISBN 9783492996075,457 Seiten; 18.7 cm x 12 cm,,Deutsch,,Gesamttitel: Piper 31635,,Erzählende Literatur: Gegenwartsliteratur ab 1945 ; Fiktionale Darstellung ; Roman,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9783492316354; ISBN: 3492316352,,,,,,,,,,2170259-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC15591438,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21413656520003338&context=L&vid=ONB&lang=de_DE
Mein Schatten ausgewählte Lyrik = Тінь моя : Вибрана лірика,Mein Schatten : ausgewählte Lyrik = Tinʹ moja : Vybrana liryka,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Kravčenko, Viktorija [ÜbersetzerIn] ;Kamʼjanecʹ, Volodymyr [MitwirkendeR] ",Ingeborg Bachman ; pereklad Viktorija Kravčenko,,,Lʹviv : VNTL-Klasyka,2020,,123 Seiten; Illustrationen,,Ukrainisch;Deutsch,,,,Anthologie ; Gedicht,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9789668849749,"Text in deutscher und ukrainischer Sprache, Teilweise in kyrillischer Schrift",,,,,,,,,2213363-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC16586048,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21497284330003338&context=L&vid=ONB&lang=de_DE
,Ich weiß keine bessere Welt : unveröffentlichte Gedichte,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Moser, Christian [HerausgeberIn] ;Bachmann, Heinz W. [HerausgeberIn] ;Moser, Isolde [HerausgeberIn] ","Ingeborg Bachmann ; herausgegeben von Isolde Moser, Heinz Bachmann, Christian Moser",,,München : Zürich : Piper,2000,,195 S.; Ill.,,Deutsch,,,,Gedicht,GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 3492042554,,,,,,,,,,1605423-B NEU MAG;1612864-B HAN MAG,,,,,,,,,http://data.onb.ac.at/rec/AC03043898,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21350186980003338&context=L&vid=ONB&lang=de_DE
,Malina,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Stamać, Truda, 1942-2021 [ÜbersetzerIn] ",Ingeborg Bachmann. Prev. s njemačkoga Truda Stamać,,Malina,Zagreb : Globus,1992,,267 S.,,Serbokroatisch,,Gesamttitel:  Biblioteka Globus,,,,,,,,,,,,,,,,1445910-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC01219888,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21338349520003338&context=L&vid=ONB&lang=de_DE
,"Lettere da un'amicizia","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ;Henze, Hans Werner, 1926-2012 [VerfasserIn] ","Höller, Hans, 1947- [HerausgeberIn] ;Maione, Francesco [ÜbersetzerIn] ",Ingeborg Bachmann ; Hans Werner Henze. A cura di Hans Höller. Trad. dal tedesco di Francesco Maione,,Briefe einer Freundschaft,Torino : EDT,2008,,"VIII, 312 S.; 23 cm",,Italienisch,,Gesamttitel: Biblioteca di cultura musicale : Documenti e saggi 27,,"Bachmann, Ingeborg, 1926-1973;Henze, Hans Werner, 1926-2012;Briefsammlung;Henze, Hans Werner, 1926-2012;Briefsammlung 1952-1972;Bachmann, Ingeborg, 1926-1973;Briefsammlung 1953-1971",,24.50 - Historische Musikwissenschaft;18.10 - Deutsche Literatur,,ISBN: 9788860401786,,,,,,,,,,1902725-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC07583931,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21223511360003338&context=L&vid=ONB&lang=de_DE
,Briefe einer Freundschaft,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ;Henze, Hans Werner, 1926-2012 [VerfasserIn] ","Höller, Hans, 1947- [HerausgeberIn] ",Ingeborg Bachmann ; Hans Werner Henze. Hrsg. von Hans Höller. Vorw. von Hans Werner Henze,,,München [u.a.] : Piper,2006,,537 S.; 19 cm,,Mehrsprachig,,Gesamttitel: Serie Piper 4713,,"Bachmann, Ingeborg, 1926-1973;Henze, Hans Werner, 1926-2012;Briefsammlung;Henze, Hans Werner, 1926-2012;Briefsammlung 1952-1972;Bachmann, Ingeborg, 1926-1973;Briefsammlung 1953-1971",GN 2947,24.55 - Komponisten. Musiker. Sänger;18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9783492247139; ISBN: 349224713X,"Briefe teilw. dt., teilw. ital., teilw. engl., teilw. franz.",,,,,,,,,1818774-B HAN MAG,,,,,,,,,http://data.onb.ac.at/rec/AC05619436,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21363649000003338&context=L&vid=ONB&lang=de_DE
,Mein erstgeborenes Land : Gedichte und Prosa aus Italien,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann. Hrsg. von Gloria Keetman-Maier,,,München [u.a.] : Piper,1992,,104 S.; 19 cm,,Deutsch,,Gesamttitel: Serie Piper 1354,Neuausg..,Gedicht;Italien;Erlebnisbericht;Italien;Belletristische Darstellung,GN 2947,,,ISBN: 3492113540,,,,,,,,,,1066899-B.1354 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC00481313,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21354528320003338&context=L&vid=ONB&lang=de_DE
,Briefe einer Freundschaft,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ;Henze, Hans Werner, 1926-2012 [VerfasserIn] ","Höller, Hans, 1947- [HerausgeberIn] ",Ingeborg Bachmann ; Hans Werner Henze. Hrsg. von Hans Höller. Vorw. von Hans Werner Henze,,,München [u.a.] : Piper,2013,,537 S.; 19 cm,,Deutsch,,Gesamttitel: Piper 30393,,"Briefsammlung, 1952-1972;Bachmann, Ingeborg, 1926-1973;Henze, Hans Werner, 1926-2012;Briefsammlung 1952-1972",,17.98 - Textsammlungen;18.10 - Deutsche Literatur,,ISBN: 9783492303934; ISBN: 3492303935,Anmerkungen:  Früher als: Piper ; 4713 ,,,,,,,,,2022490-B LIT MAG,,,,,,,,,http://data.onb.ac.at/rec/AC11324967,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21236041990003338&context=L&vid=ONB&lang=de_DE
,Das Buch Goldmann,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Wandruszka, Maria Luisa, 1950- [HerausgeberIn]. [KommentarverfasserIn] ",Ingeborg Bachmann ; herausgegeben von Marie Luise Wandruszka,,Requiem für Fanny Goldmann,München : Berlin : Zürich : Piper;Berlin : Suhrkamp,2017,,457 Seiten; Faksimiles; 21 cm,,Deutsch,,Gesamttitel:  Werke und Briefe / Ingeborg Bachmann,Erste Auflage.,"Fiktionale Darstellung;Bachmann, Ingeborg, 1926-1973, Requiem für Fanny Goldmann",GN 2949;GN 2947,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9783518426012,"Anmerkungen:  Am Buchrücken: ""Werke"" ;Anmerkungen:  Literaturverzeichnis: Seite 397-[406] ;Anmerkungen:  Enthält umfangreichen Kommentar ;Anmerkungen:  Verlagsangabe auf der Titelseite: Piper Suhrkamp ",,,,,,,,,2096897-B NEU MAG;2098664-B LIT MAG,,,,,,,,,http://data.onb.ac.at/rec/AC13693457,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21306078750003338&context=L&vid=ONB&lang=de_DE
,Frankfurt Dersleri : Çağdaş Yazının Sorunları : konuşmalar,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Özdemir, İlknur [ÜbersetzerIn] ",Ingeborg Bachmann ; çeviren İlknur Özdemir,,Frankfurter Vorlesungen,"İstanbul : YKY, Yapı Kredi Yayınları",Kasım 2020,,100 Seiten; 21 cm,,Türkisch,,"Gesamttitel: Yapı Kredi yayınları 5701;Gesamttitel: Yapı Kredi Yayınları : [...], Modern klasikler 62",1. baskı.,Literaturtheorie,,18.10 - Deutsche Literatur;17.73 - Literaturtheorie: Allgemeines;18.00 - Einzelne Sprachen und Literaturen allgemein,,ISBN: 9789750848735,,,,,,,,,,2195952-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC16353469,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21488129860003338&context=L&vid=ONB&lang=de_DE
,Kriegstagebuch : mit Briefen von Jack Hamesh an Ingeborg Bachmann,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Höller, Hans, 1947- [HerausgeberIn] ;Hamesh, Jack, 1920- [MitwirkendeR] ",Ingeborg Bachmann ; herausgegeben und mit einem Nachwort von Hans Höller,,,Berlin : Suhrkamp Verlag,2010,,107 S.; 21 cm,,Deutsch,,,1. Aufl..,"Tagebuch, 1944-1945 ; Briefsammlung, 1946-1947;Bachmann, Ingeborg, 1926-1973;Tagebuch 1944-1945;Bachmann, Ingeborg, 1926-1973;Briefsammlung 1946-1947",GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9783518421451,Verlegernummer:  42145 ,,,,,"Pazifismus zieht sich wie ein roter Faden durch Ingeborg Bachmanns Werk. In wieder aufgetauchtenTagebucheintragungen erzählt die österreichische Dichterin von ihrer ersten Begegnung mit dem geliebten Frieden, ihren Erfahrungen mit dem Krieg und von ihrer Liebe zu einem jüdischen Besatzungssoldaten. Allen Gefahren zum Trotz las die junge Bachmann während des Krieges verbotene Bücher und griff immer wieder zu den Werken Thomas Manns oder Arthur Schnitzlers.",,,,1924337-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08052959,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21274939300003338&context=L&vid=ONB&lang=de_DE
,Aldibereko,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Urkaregi, Idoia Santamaría [ÜbersetzerIn] ",Ingeborg Bachmann ; Idoia Santamaría Urkaregi itzultzailea,,Simultan,[Donostia] : Erein & Igela,[2019],,286 Seiten; Illustration; 20 cm,,Baskisch;Deutsch,,Gesamttitel: Literatura Unibertsala 176,,Fiktionale Darstellung ; Roman,,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9788491094227,"Anmerkungen:  Hier auch später erschienene, unveränderte Nachdrucke (2021) ",,,,,,,,,2182476-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC15610077,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21481024170003338&context=L&vid=ONB&lang=de_DE
,Malina,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Baxmani ; Germanulidan t̕argmna Ana Korjaia-Samadašvilma ; Redak̕tori Lia Lik̕okeli,,Malina,T̕bilisi : K̕arč̕xajis Gamomc̕emloba,[2017],,347 Seiten,,Georgisch,,Gesamttitel:  T̕anamedrove msop̕lio klasika,,Fiktionale Darstellung;Frau;Ich-Auflösung,,,,ISBN: 9789941452451,,,,,,,,,,NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC15305317,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21481992870003338&context=L&vid=ONB&lang=de_DE
,Trideseta godina : pripovetke,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Dražić, Relja, 1954- [ÜbersetzerIn] ",Ingeborg Bahman ; preveo s nemačkog Relja Dražić,,Das dreißigste Jahr,Novi Sad : Nojzac,[2020],,174 Seiten; 21 cm,,Serbisch,,,,Erzählende Literatur ; Anthologie ; Erzählung,,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9788671882026,,,,,,,,,,2240469-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC16687503,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21499957100003338&context=L&vid=ONB&lang=de_DE
,The Honditsch cross : a tale from 1813,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Lewis, Tess [ÜbersetzerIn] ",Ingeborg Bachmann ; translated from the German by Tess Lewis,,Das Honditschkreuz,New York : New Directions,[2025],Erscheint auch als,104 Seiten; 22 cm,,Englisch,,Gesamttitel: A New Directions paperbook original 1630,,Fiktionale Darstellung ; Erzählende Literatur ; Novelle,,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9780811238564,,,,,,"Zusammenfassung: ""Written when Ingeborg Bachmann was only eighteen, The Honditsch Cross, her second-longest completed work of prose, is a historical novella set during the final days of the Napoleonic occupation of Austria in 1813. A young theology student, returning from Vienna to his family home in Carinthia, finds the invading troops stationed there, led by a despotic officer, who has been exploiting and terrorizing his family and friends. He is immediately thrown into the center of the conflict, torn between defending his homeland, the pull of physical desire, and the pursuit of his theological studies... In this gripping work, Bachmann begins to explore themes that will preoccupy her for the rest of her writing career: complex notions of nationality and patriotism, the roles and rights of women in patriarchal societies, the meaningless destruction of war and its aftermath, and the bitter moments of disillusionment that lead to intellectual maturity""--",,,,2295851-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC17749826,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21543422120003338&context=L&vid=ONB&lang=de_DE
,Werke : [in vier Bänden] : 2 : Erzählungen,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Koschel, Christine, 1936-2024 [HerausgeberIn] ",Ingeborg Bachmann. Hrsg. von Christine Koschel ...,,,München [u.a.] : Piper,1978,,608 S.; 21 cm,,Deutsch,,,,,GN 2946,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 3492022863,,,,,,,,,,1154054-B.2 HAN MAG;1152555-B.2 NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC00816351,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21234929170003338&context=L&vid=ONB&lang=de_DE
,Die Radiofamilie,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","McVeigh, Joseph [HerausgeberIn] ",Ingeborg Bachmann. Hrsg. und mit einem Nachw. von Joseph McVeigh,,,Berlin : Suhrkamp,2011,,410 S.; Ill.; 21 cm,,Deutsch,,,1. Aufl..,"Hörspiel;Wien;Familie;Alltag;Geschichte 1950;Belletristische Darstellung;Bachmann, Ingeborg, 1926-1973;Hörspiel;Rot-Weiß-Rot;Geschichte 1951-1952;Quelle",GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9783518422151,Anmerkungen:  Literaturverz. S. 405 - 410 ,,,,,"Klappentext: Bachmann, IngeborgDie RadiofamilieIm Herbst des Jahres 1951 tritt eine &raquo;kettenrauchende Meerfrau mit Engelhaar, die mehr fl&uuml;sterte als sprach&laquo;, in die H&ouml;rspielabteilung des amerikanischen Besatzungssenders Rot-Wei&szlig;-Rot in Wien ein. Ingeborg Bachmann, so der Name der jungen Frau, wird f&uuml;r die n&auml;chsten beiden Jahre das Unterhaltungsprogramm des Senders pr&auml;gen und Die Radiofamilie Floriani zur bekanntesten und beliebtesten Sendung der Nachkriegszeit machen. Lange galten die von Ingeborg Bachmann verfassten Skripte als verloren. In diesem Band sind sie nun, zusammen mit einem ausf&uuml;hrlichen editorischen Nachwort des Herausgebers, erstmals publiziert. Sie sind b&uuml;rgerlich, und sie sind verschroben, die Florianis: Da ist Hans, der Paterfamilias, Oberlandesgerichtsrat und ehrenhaft bis in die Knochen. Von den rotzfrechen Kindern wird er um den Finger gewickelt: &raquo;Ich bin eine komische Figur in meiner Familie&laquo;, beklagt er sich bei seiner Frau Vilma, Generalstochter aus dem Ersten Weltkrieg, &raquo;also ein bisserl etwas H&ouml;heres&laquo;, und in dieser Frage nicht gewillt, dem Herrn Gemahl zu widersprechen. Strenger geht sie da schon mit dem Onkel Guido ins Gericht, dem Halbbruder des Oberlandesgerichtsrats. Er war ein Nazi, aber, so hei&szlig;t es in der Familie, ein kleiner, der sonst nichts angestellt hat. &raquo;Nur ein Trottel, der auf den Hitler hereingefallen ist.&laquo; Woche f&uuml;r Woche kommen sie zusammen und verhandeln mit viel Witz und Ironie den Kalten Krieg, die Entnazifizierung, den beginnenden Wiederaufbau - und neben dem gro&szlig;en auch das kleine Geschehen im Nachkriegs&ouml;sterreich.",,,,1955173-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC08481818,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21327160860003338&context=L&vid=ONB&lang=de_DE
,Uittocht : = Ausfahrt,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Jellema, Cornelis O., 1936-2003 [ÜbersetzerIn] ",Ingeborg Bachmann ; C.O. Jellema,,Ausfahrt,Terhorst : Ser J.L. Prop,in de lente 2019,,20 ungezählte Seiten; 22 cm,,Niederländisch;Deutsch,,,Oplage van vijftig exemplaren.,Lyrik ; Anthologie ; Gedicht,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,,,,,,,,,,,2160979-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC15557209,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21412236980003338&context=L&vid=ONB&lang=de_DE
,O tempo adiado e outros poemas,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Cavalcanti, Cláudia, 1963- [HerausgeberIn]. [ÜbersetzerIn] ","Ingeborg Bachmann ; seleção, tradução e posfácio Claudia Cavalcanti",,,São Paulo : Todavia,2020,,203 Seiten; 21 cm,,Portugiesisch;Deutsch,,,1a ed..,Anthologie ; Lyrik ; Gedicht,,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9786580309856,Text deutsch und portugiesisch,,,,,,,,,2183000-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC16177033,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21480876640003338&context=L&vid=ONB&lang=de_DE
,A occhi aperti : saggi : discorsi : scritti vari,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ",,Ingeborg Bachmann ; a cura di Barbara Agnese,,Die Wahrheit ist dem Menschen zumutbar,Milano : Adelphi edizioni,2025,,275 Seiten; 18 cm,,Italienisch,,Gesamttitel: Piccola biblioteca Adelphi 820,,Rede ; Aufsatzsammlung ; Essay,,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9788845940101,,,,,,,,,,2300047-A NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC17595927,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21548255700003338&context=L&vid=ONB&lang=de_DE
,La ricenzione critica della filosofia esistenziale di Martin Heidegger,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Cresti, Silvia [ÜbersetzerIn] ",Ingeborg Bachmann,,Die kritische Aufnahme der Existential-philosophie Martin Heideggers,Napoli : Guida,1992,,118 S.,,Italienisch,,Gesamttitel: Saggi 39,,"Heidegger, Martin, 1889-1976;Rezeption",,,,ISBN: 8878351059,,,,,,,,,,1422262-B.39 NEU PER,,,,,,,,,http://data.onb.ac.at/rec/AC00758119,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21335932150003338&context=L&vid=ONB&lang=de_DE
,Malina : Roman ; [Text und Kommentar],"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Albrecht, Monika [MitwirkendeR] ;Göttsche, Dirk, 1955- [MitwirkendeR] ",Ingeborg Bachmann. Mit einem Kommentar von Monika Albrecht und Dirk Göttsche,,,Frankfurt am Main : Suhrkamp,2004,,388 S.; Notenbeisp.; 18 cm,,Deutsch,,Gesamttitel: Suhrkamp BasisBibliothek 56 : Text und Kommentar,"Orig.-Ausg., 1. Aufl..","Roman;Deutsch;Frau;Ich-Auflösung;Belletristische Darstellung;Bachmann, Ingeborg, 1926-1973, Malina",GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 3518188569,"Anmerkungen:  Literaturverz. S. 357 - 361 ;Anmerkungen:  Hier auch später erschienene, unveränderte Nachdrucke (5. Auflage 2023) ",,,,,,,,,1763621-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04339186,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21365283650003338&context=L&vid=ONB&lang=de_DE
,Anrufung des Großen Bären : Gedichte,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Reitani, Luigi, 1959-2021 [HerausgeberIn] ;Höller, Hans, 1947- [VerfasserIn eines Vorworts] ",Ingeborg Bachmann ; herausgegeben von Luigi Reitani ; mit einem Vorwort von Hans Höller,,Anrufung des Großen Bären,München : Berlin : Zürich : Piper;Berlin : Suhrkamp,2022,,332 Seiten; Illustrationen; 21 cm,,Deutsch,,Gesamttitel:  Werke und Briefe / Ingeborg Bachmann,Erste Auflage.,Anthologie ; Gedicht ; Lyrik,GN 2947,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9783518426050,"Anmerkungen:  Am Buchrücken: ""Werke"" ;Anmerkungen:  Literaturverzeichnis: Seite 291-[303] ",,,,,,,,,2214361-B NEU MAG;2218293-B LIT MAG,,,,,,,,,http://data.onb.ac.at/rec/AC16463880,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21492432140003338&context=L&vid=ONB&lang=de_DE
,"Invocazione all'orsa maggiore : poesie","Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Reitani, Luigi, 1959-2021 [HerausgeberIn]. [KommentarverfasserIn] ;Höller, Hans, 1947- ",Ingeborg Bachmann ; edizione con testo a fronte a cura di Luigi Reitani con una Nota die Hans Höller,,"Anrufung des Großen Bären, Zusammenstellung",Milano : Adelphi Edizioni,2023,,362 Seiten; Illustrationen; 22 cm,,Italienisch,,Gesamttitel: Biblioteca Adelphi 752,1. edizione.,"Anthologie ; Lyrik ; Kommentar ; Gedicht;Bachmann, Ingeborg, 1926-1973, Anrufung des Großen Bären, Zusammenstellung",,18.10 - Deutsche Literatur;17.97 - Texte eines einzelnen Autors,,ISBN: 9788845938283,Anmerkungen:  Literaturverzeichnis: Seite 319-327 ,,,,,,,,,2254859-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC17146082,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21521247780003338&context=L&vid=ONB&lang=de_DE
,Radio-drame,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Zobenica, Nikolina [ÜbersetzerIn] ","Ingeborg Bachmann ; preveli s nemaćkog Nikolina Zobenica, Relja Dražić",,Die Hörspiele,Novi Sad : Futura publikacije,[2020],,188 Seiten; 21 cm,,Serbisch,,Gesamttitel:  Nojzac,,Fiktionale Darstellung ; Erzählende Literatur,,,,ISBN: 9788671881920,,,,,,,,,,NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC17749821,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21543431680003338&context=L&vid=ONB&lang=de_DE
,Toute personne qui tombe a des ailes : (poèmes 1942 - 1967) ; édition bilingue,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Rétif, Françoise [ÜbersetzerIn] ","Ingeborg Bachmann. Èd., introd. et trad. de l'allemand (Autriche) par Françoise Rétif",,,Paris : Gallimard,2015,,589 S.; 18 cm,,Französisch;Deutsch,,Gesamttitel: Collection Poésie 499,,Gedicht;Deutsch o;Französisch ü;Deutsch,,17.97 - Texte eines einzelnen Autors;18.10 - Deutsche Literatur,,ISBN: 9782070449286,Text dt. u. franz.,,,,,,,,,2061365-B NEU MAG;2067467-B LIT MAG,,,,,,,,,http://data.onb.ac.at/rec/AC12237850,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21303876020003338&context=L&vid=ONB&lang=de_DE
,Radiopʹjesy : Sny na prodaž ; Cykady ; Dobryj Boh Manhettenu,"Bachmann, Ingeborg, 1926-1973 [VerfasserIn] ","Cybenko, Larysa, 1957- [ÜbersetzerIn] ",Ingeborg Bachman. Pereklad z nim. Larysy Cybenko,,,Lʹviv : VNTL-Klasyka,2005,,195 S.,,Ukrainisch,,,,,,,,ISBN: 9668849124,,,,,,,,,,1786987-B NEU MAG,,,,,,,,,http://data.onb.ac.at/rec/AC04787361,https://search.onb.ac.at/primo-explore/fulldisplay?docid=ONB_alma21367097090003338&context=L&vid=ONB&lang=de_DE
